,FuelID,FuelTypeID,FuelAB,FuelNA,Condition,DenomUnit,Density_kg,CalValue_MJ
0,1,1,GAS,Gasoline,,l,0.745000004768372,32.1839981079102
1,2,1,DIESEL,Diesel,,l,0.832000017166138,35.8600006103516
2,3,1,GAS_IMP,Improved Gasoline,,l,0.745000004768372,32.1839981079102
3,4,1,DIE_IMP,Improved Diesel,,l,0.832000017166138,35.8600006103516
4,5,1,LPG,Liquified Petroleum Gas,,l,0.550000011920929,25.2999992370605
5,6,3,MEOH,Biomethanol,,l,0.792999982833862,15.7799997329712
6,7,3,E85,Bioethanol(85)-petrol(15) blend,,l,0.787000000476837,23.0200004577637
7,8,3,B100,"Biodiesel (FT, synthetic)",,l,0.779999971389771,34.3199996948242
8,10,2,CNG,Compressed Natural Gas,200 bar (20 MPa),l,0.17399999499321,8.30000019073486
9,11,3,CBG,Compressed Bio Gas,200 bar (20 MPa),l,0.17399999499321,8.30000019073486
10,12,4,EL,Electricity,,Wh,,0.00359999993816018
11,13,3,GH2,Gaseous Hydrogen,700 bar compressed,l,0.0266399998217821,3.20000004768372
12,14,3,LH2,Liquefied Hydrogen,-253 deg C. (20 K),l,0.0766000002622604,9.19999980926514
13,15,1,KEROSENE,Aviation fuel (Jet A-1),,l,0.804000020027161,34.689998626709
14,16,3,BIOJET,Bio jet fuel (100%),,l,0.790000021457672,34.0
